community_code,community_name,population,area_sqmile,area_sqkm,density_per_sqmi,density_per_sqkm
1,Rogers Park,55062,1.84,4.77,29925.00,11554.11
2,West Ridge,72139,3.06,7.93,23575.82,9093.42
3,Uptown,56388,1.89,4.89,29834.39,11517.49
4,Lincoln Square,40492,1.55,4.02,26124.52,10086.00
5,North Center,35706,1.45,3.76,24624.83,9508.35
6,Lakeview,95884,3.02,7.82,31745.70,12256.25
7,Lincoln Park,67565,3.11,8.05,21726.69,8389.56
8,Near North Side,105617,3.36,8.71,31432.44,12133.84
9,Edison Park,11123,1.26,3.26,8828.57,3408.28
10,Norwood Park,39046,4.39,11.37,8895.22,3433.74
11,Jefferson Park,25783,2.05,5.31,12577.07,4855.57
12,Forest Glen,18508,2.61,6.76,7092.72,2737.87
13,North Park,18513,1.20,3.11,15427.50,5956.91
14,Albany Park,51542,3.17,8.21,16259.62,6278.93
15,Portage Park,64124,3.44,8.91,18640.70,7197.18
16,Irving Park,56618,3.00,7.77,18872.67,7286.62
17,Dunning,40932,3.16,8.18,12954.43,5000.49
18,Montclare,23543,1.30,3.37,18110.77,6990.97
19,Belmont Cragin,78743,3.34,8.65,23575.15,9095.51
20,Hermosa,27402,1.34,3.47,20449.25,7896.43
21,Avondale,43083,1.95,5.05,22093.33,8531.26
22,Logan Square,73976,3.24,8.39,22831.48,8814.84
23,Humboldt Park,56295,3.59,9.30,15681.62,6053.26
24,West Town,81571,3.31,8.57,24644.23,9516.93
25,Austin,98514,7.15,18.52,13778.18,5318.58
26,West Garfield Park,17433,1.74,4.51,10018.39,3867.26
27,East Garfield Park,20567,1.63,4.22,12619.63,4871.06
28,Near West Side,67881,3.62,9.38,18752.49,7239.49
29,North Lawndale,35912,3.50,9.07,10260.57,3961.53
30,South Lawndale,79931,3.27,8.47,24443.73,9437.71
31,Lower West Side,35769,2.96,7.67,12083.45,4665.61
32,Loop,42298,1.64,4.25,25791.46,9956.68
33,Near South Side,25681,1.97,5.10,13035.53,5033.08
34,Armour Square,13391,1.41,3.65,9496.45,3665.52
35,Douglas,27895,1.88,4.87,14838.30,5728.89
36,Oakland,5918,0.93,2.41,6363.44,2456.40
37,Fuller Park,2876,0.98,2.54,2934.69,1132.26
38,Grand Boulevard,21929,1.39,3.60,15776.98,6090.56
39,Kenwood,18363,2.05,5.31,8957.56,3459.02
40,Washington Park,12527,1.87,4.84,6699.47,2585.49
41,Hyde Park,29456,3.42,8.86,8612.28,3325.21
42,Woodlawn,25983,3.22,8.34,8072.98,3117.08
43,South Shore,49767,3.15,8.16,15799.05,6098.98
44,Chatham,32408,3.84,9.95,8439.58,3258.85
45,Avalon Park,9959,1.23,3.19,8097.56,3126.30
46,South Chicago,30258,3.77,9.76,8027.59,3098.53
47,Burnside,2916,0.56,1.45,5207.14,2009.69
48,Calumet Heights,13088,2.17,5.62,6030.41,2328.01
49,Roseland,43593,7.11,18.42,6131.22,2366.95
50,Pullman,7648,1.59,4.12,4811.32,1857.28
51,South Deering,15111,3.59,9.30,4209.75,1625.00
52,East Side,23041,2.90,7.51,7945.17,3067.64
53,West Pullman,29843,4.02,10.41,7423.63,2866.76
54,Riverdale,6510,2.87,7.43,2269.34,875.84
55,Hegewisch,9781,3.48,9.01,2810.63,1084.91
56,Garfield Ridge,36445,5.62,14.56,6484.52,2503.64
57,Archer Heights,13393,1.93,5.00,6940.41,2679.58
58,Brighton Park,47041,3.27,8.47,14385.87,5552.26
59,McKinley Park,15612,1.61,4.17,9696.27,3743.75
60,Bridgeport,33702,2.24,5.80,15045.54,5808.42
61,New City,44377,3.26,8.44,13610.74,5253.44
62,West Elsdon,18757,1.87,4.84,10029.95,3871.23
63,Gage Park,39894,2.73,7.07,14611.72,5641.60
64,Clearing,22336,3.03,7.85,7372.61,2846.69
65,West Lawn,56282,3.06,7.93,18392.16,7101.43
66,Chicago Lawn,56948,4.65,12.05,12246.88,4728.25
67,West Englewood,29869,3.54,9.17,8439.55,3258.84
68,Englewood,24369,3.38,8.76,7209.17,2782.44
69,Greater Grand Crossing,30114,2.93,7.59,10278.16,3968.38
70,Ashburn,42343,5.09,13.18,8318.86,3211.75
71,Auburn Gresham,51036,3.70,9.58,13793.51,5324.50
72,Beverly,20034,3.87,10.02,5177.00,1998.85
73,Washington Heights,26049,3.14,8.13,8295.86,3202.88
74,Mount Greenwood,19055,2.75,7.12,6929.09,2675.18
75,Morgan Park,27271,3.52,9.12,7747.44,2991.11
76,O'Hare,11866,16.50,42.74,719.15,277.67
77,Edgewater,56521,1.86,4.82,30387.63,11731.67
