id,case_number,date,block,iucr_code,primary_type,description,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location
10000000,SS442871,03/04/2022 07:47,78XX N PULASKI RD,0740,THEFT,THEFT OVER $500,RESTAURANT,False,False,212,8,15.0,18.0,15,1151489.0,1867491.0,2022,03/13/2022 07:47,41.71608165,-87.67342345,"(41.71608165, -87.67342345)"
10000001,WW348136,06/27/2015 19:34,99XX E HALSTED ST,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,RESIDENCE,False,False,711,14,6.0,71.0,07,1185228.0,1853665.0,2015,07/01/2015 19:34,41.94851207,-87.62679436,"(41.94851207, -87.62679436)"
10000002,GG525832,03/31/2021 10:20,51XX W ASHLAND AVE,0910,VANDALISM,CRIMINAL DAMAGE,BAR OR TAVERN,False,True,811,2,15.0,5.0,14,1185895.0,1867010.0,2021,04/27/2021 10:20,41.96394084,-87.62984598,"(41.96394084, -87.62984598)"
10000003,NC685131,04/26/2019 13:29,1XX E COTTAGE GROVE AVE,0650,MOTOR VEHICLE THEFT,AUTOMOBILE,BAR OR TAVERN,False,False,221,9,36.0,2.0,13,1155577.0,1884781.0,2019,05/13/2019 13:29,41.77004756,-87.60771146,"(41.77004756, -87.60771146)"
10000004,YT673638,09/07/2017 05:56,78XX W PULASKI RD,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,122,3,6.0,63.0,15,1197342.0,1863210.0,2017,09/26/2017 05:56,41.72772815,-87.60207475,"(41.72772815, -87.60207475)"
10000005,CR348066,07/26/2017 06:02,61XX W PULASKI RD,0560,ASSAULT,SIMPLE,GAS STATION,True,False,611,11,5.0,66.0,07,1194119.0,1896096.0,2017,08/23/2017 06:02,41.85177018,-87.58299423,"(41.85177018, -87.58299423)"
10000006,XE039726,11/05/2015 14:55,62XX S NORTH AVE,0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,HOSPITAL BUILDING/GROUNDS,False,True,1811,19,7.0,7.0,14,1192434.0,1863304.0,2015,12/03/2015 14:55,41.98069888,-87.52208991,"(41.98069888, -87.52208991)"
10000007,QK559272,07/08/2018 05:37,73XX S STATE ST,1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RETAIL STORE,False,True,121,18,34.0,21.0,04A,1183760.0,,2018,07/24/2018 05:37,41.74574749,-87.62148947,"(41.74574749, -87.62148947)"
10000008,YD115267,01/11/2021 10:16,2XX E WESTERN AVE,0650,MOTOR VEHICLE THEFT,AUTOMOBILE,RESTAURANT,False,False,912,12,5.0,32.0,15,1199192.0,1914567.0,2021,01/16/2021 10:16,41.85296539,-87.70924486,"(41.85296539, -87.70924486)"
10000009,DI878822,09/28/2018 19:40,48XX S DIVISION ST,0910,VANDALISM,CRIMINAL DAMAGE,HOSPITAL BUILDING/GROUNDS,False,False,1911,6,48.0,57.0,02,1184550.0,1861924.0,2018,10/07/2018 19:40,41.72356216,-87.51648472,"(41.72356216, -87.51648472)"
10000010,VW263207,12/26/2016 21:01,59XX E BROADWAY,0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,BAR OR TAVERN,True,True,621,11,27.0,32.0,06,1151936.0,1887655.0,2016,01/01/2017 21:01,41.90038346,-87.68523748,"(41.90038346, -87.68523748)"
10000011,LY966195,12/23/2017 03:38,67XX S CHICAGO AVE,5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,GAS STATION,False,False,1121,12,47.0,41.0,01A,1162736.0,1906702.0,2017,01/06/2018 03:38,41.80555863,-87.62702359,"(41.80555863, -87.62702359)"
10000012,HR609238,11/26/2021 17:25,95XX S HALSTED ST,1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,511,1,20.0,37.0,14,1172107.0,1867096.0,2021,12/14/2021 17:25,41.88641169,-87.66050354,"(41.88641169, -87.66050354)"
10000013,RZ598675,10/23/2022 13:25,59XX S GRAND AVE,0510,ASSAULT,AGGRAVATED: HANDGUN,HOSPITAL BUILDING/GROUNDS,False,False,212,5,42.0,1.0,04A,1173227.0,1894592.0,2022,10/31/2022 13:25,41.93123296,-87.59122647,"(41.93123296, -87.59122647)"
10000014,KI408379,09/21/2023 16:40,91XX S HALSTED ST,0560,ASSAULT,SIMPLE,,True,False,711,9,29.0,10.0,04B,1157541.0,1880642.0,2023,09/29/2023 16:40,41.95790805,-87.7758267,"(41.95790805, -87.7758267)"
10000015,PR048123,09/13/2019 16:47,17XX N NORTH AVE,0560,ASSAULT,SIMPLE,GAS STATION,True,False,521,22,15.0,63.0,13,1189907.0,1907934.0,2019,10/01/2019 16:47,41.80665716,-87.59933791,
