DISTRICT_CODE,DISTRICT_NAME,ADDRESS,CITY,STATE,ZIP,WEBSITE,PHONE,FAX,TTY,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
1,Central,1718 S State St,Chicago,IL,60616,http://home.chicagopolice.org/community/districts/1st-district-central/,312-745-4290,312-745-3694,312-745-3693,1176569.052,1891771.704,41.85837259,-87.62735617,"(41.8583725929, -87.627356171)"
2,Wentworth,3510 S Michigan Ave,Chicago,IL,60653,http://home.chicagopolice.org/community/districts/2nd-district-wentworth/,312-747-8366,312-747-6033,312-747-7103,1177341.112,1879622.501,41.82497384,-87.62461283,"(41.8249738, -87.6246128)"
3,Grand Crossing,7040 S Cottage Grove Ave,Chicago,IL,60637,http://home.chicagopolice.org/community/districts/3rd-district-grand-crossing/,312-747-8201,312-747-5396,312-747-8219,1183194.327,1856207.841,41.76087192,-87.60490711,"(41.7608719, -87.6049071)"
4,South Chicago,2255 E 103rd St,Chicago,IL,60617,http://home.chicagopolice.org/community/districts/4th-district-south-chicago/,312-747-7573,312-747-5369,312-747-6069,1199218.552,1835701.489,41.70468882,-87.54747309,"(41.7046888, -87.5474731)"
5,Calumet,727 E 111th St,Chicago,IL,60628,http://home.chicagopolice.org/community/districts/5th-district-calumet/,312-747-8210,312-747-5365,312-747-8212,1186063.201,1831018.622,41.69219053,-87.59555985,"(41.6921905, -87.5955599)"
6,Gresham,7808 S Halsted St,Chicago,IL,60620,http://home.chicagopolice.org/community/districts/6th-district-gresham/,312-745-3617,312-745-4696,312-745-3614,1172310.445,1852613.219,41.75134061,-87.64306618,"(41.7513406, -87.6430662)"
7,Englewood,1438 W 63rd St,Chicago,IL,60636,http://home.chicagopolice.org/community/districts/7th-district-englewood/,312-747-8227,312-747-5367,312-747-8229,1165997.102,1862408.873,41.77826079,-87.66637984,"(41.7782608, -87.6663798)"
8,Chicago Lawn,3420 W 63rd St,Chicago,IL,60629,http://home.chicagopolice.org/community/districts/8th-district-chicago-lawn/,312-747-8730,312-747-5368,312-747-8732,1152700.319,1862102.875,41.77751148,-87.71271481,"(41.7775115, -87.7127148)"
9,Deering,3120 S Halsted St,Chicago,IL,60608,http://home.chicagopolice.org/community/districts/9th-district-deering/,312-747-8227,312-747-5371,312-747-8229,1172198.045,1883793.319,41.83705267,-87.64360095,"(41.8370527, -87.6436010)"
10,Ogden,3315 W Ogden Ave,Chicago,IL,60623,http://home.chicagopolice.org/community/districts/10th-district-ogden/,312-747-7511,312-747-5377,312-747-7513,1153699.112,1889283.607,41.85229046,-87.70928147,"(41.8522905, -87.7092815)"
11,Harrison,3151 W Harrison St,Chicago,IL,60612,http://home.chicagopolice.org/community/districts/11th-district-harrison/,312-746-8386,312-746-8282,312-746-8387,1154002.291,1898078.344,41.87636942,-87.70831009,"(41.8763694, -87.7083101)"
12,Near West,1412 S Blue Island Ave,Chicago,IL,60608,http://home.chicagopolice.org/community/districts/12th-district-near-west/,312-746-8396,312-746-8285,312-746-8399,1168312.447,1893823.417,41.86431127,-87.65791812,"(41.8643113, -87.6579181)"
14,Shakespeare,2150 N California Ave,Chicago,IL,60647,http://home.chicagopolice.org/community/districts/14th-district-shakespeare/,312-744-8250,312-744-7512,312-744-8251,1155912.318,1915219.432,41.92306485,-87.70148201,"(41.9230649, -87.7014820)"
15,Austin,5701 W Madison St,Chicago,IL,60644,http://home.chicagopolice.org/community/districts/15th-district-austin/,312-743-1440,312-743-0578,312-743-1442,1135918.447,1899388.231,41.88000312,-87.77443219,"(41.8800031, -87.7744322)"
16,Jefferson Park,5151 N Milwaukee Ave,Chicago,IL,60630,http://home.chicagopolice.org/community/districts/16th-district-jefferson-park/,312-742-4521,312-742-4490,312-742-4523,1140817.344,1932982.543,41.97394812,-87.75726384,"(41.9739481, -87.7572638)"
17,Albany Park,4650 N Pulaski Rd,Chicago,IL,60630,http://home.chicagopolice.org/community/districts/17th-district-albany-park/,312-742-4410,312-742-4411,312-742-4412,1149817.344,1929982.543,41.96594812,-87.72726384,"(41.9659481, -87.7272638)"
18,Near North,1160 N Larrabee St,Chicago,IL,60610,http://home.chicagopolice.org/community/districts/18th-district-near-north/,312-742-5870,312-742-5872,312-742-5871,1173812.441,1908873.221,41.90387319,-87.64359872,"(41.9038732, -87.6435987)"
19,Town Hall,850 W Addison St,Chicago,IL,60613,http://home.chicagopolice.org/community/districts/19th-district-town-hall/,312-744-8320,312-744-8322,312-744-8321,1168942.112,1923412.543,41.94712384,-87.65582312,"(41.9471238, -87.6558231)"
20,Lincoln,5400 N Lincoln Ave,Chicago,IL,60625,http://home.chicagopolice.org/community/districts/20th-district-lincoln/,312-742-8714,312-742-8717,312-742-8715,1160382.221,1933812.543,41.97612384,-87.68372312,"(41.9761238, -87.6837231)"
22,Morgan Park,1900 W Monterey Ave,Chicago,IL,60643,http://home.chicagopolice.org/community/districts/22nd-district-morgan-park/,312-745-0710,312-745-0712,312-745-0711,1166182.119,1827492.219,41.68412384,-87.66372312,"(41.6841238, -87.6637231)"
24,Rogers Park,6464 N Clark St,Chicago,IL,60626,http://home.chicagopolice.org/community/districts/24th-district-rogers-park/,312-744-5907,312-744-5909,312-744-5908,1168382.112,1944312.543,42.00012384,-87.65682312,"(42.0001238, -87.6568231)"
25,Grand Central,5555 W Grand Ave,Chicago,IL,60639,http://home.chicagopolice.org/community/districts/25th-district-grand-central/,312-746-8605,312-746-8607,312-746-8606,1137182.221,1912382.543,41.91712384,-87.77282312,"(41.9171238, -87.7728231)"
