DISTRICT,SECTOR,BEAT,BEAT_NUM
1,1,1,111
1,1,2,112
1,1,3,113
1,2,1,121
1,2,2,122
1,2,3,123
1,3,1,131
1,3,2,132
1,3,3,133
2,1,1,211
2,1,2,212
2,1,3,213
2,2,1,221
2,2,2,222
2,2,3,223
2,3,1,231
2,3,2,232
2,3,3,233
3,1,1,311
3,1,2,312
3,1,3,313
3,2,1,321
3,2,2,322
3,2,3,323
3,3,1,331
3,3,2,332
3,3,3,333
4,1,1,411
4,1,2,412
4,1,3,413
4,2,1,421
4,2,2,422
4,2,3,423
4,3,1,431
4,3,2,432
4,3,3,433
5,1,1,511
5,1,2,512
5,1,3,513
5,2,1,521
5,2,2,522
5,2,3,523
5,3,1,531
5,3,2,532
5,3,3,533
6,1,1,611
6,1,2,612
6,1,3,613
6,2,1,621
6,2,2,622
6,2,3,623
6,3,1,631
6,3,2,632
6,3,3,633
7,1,1,711
7,1,2,712
7,1,3,713
7,2,1,721
7,2,2,722
7,2,3,723
7,3,1,731
7,3,2,732
7,3,3,733
8,1,1,811
8,1,2,812
8,1,3,813
8,2,1,821
8,2,2,822
8,2,3,823
8,3,1,831
8,3,2,832
8,3,3,833
9,1,1,911
9,1,2,912
9,1,3,913
9,2,1,921
9,2,2,922
9,2,3,923
9,3,1,931
9,3,2,932
9,3,3,933
10,1,1,1011
10,1,2,1012
10,1,3,1013
10,2,1,1021
10,2,2,1022
10,2,3,1023
10,3,1,1031
10,3,2,1032
10,3,3,1033
11,1,1,1111
11,1,2,1112
11,1,3,1113
11,2,1,1121
11,2,2,1122
11,2,3,1123
11,3,1,1131
11,3,2,1132
11,3,3,1133
12,1,1,1211
12,1,2,1212
12,1,3,1213
12,2,1,1221
12,2,2,1222
12,2,3,1223
12,3,1,1231
12,3,2,1232
12,3,3,1233
14,1,1,1411
14,1,2,1412
14,1,3,1413
14,2,1,1421
14,2,2,1422
14,2,3,1423
14,3,1,1431
14,3,2,1432
14,3,3,1433
15,1,1,1511
15,1,2,1512
15,1,3,1513
15,2,1,1521
15,2,2,1522
15,2,3,1523
15,3,1,1531
15,3,2,1532
15,3,3,1533
16,1,1,1611
16,1,2,1612
16,1,3,1613
16,2,1,1621
16,2,2,1622
16,2,3,1623
16,3,1,1631
16,3,2,1632
16,3,3,1633
17,1,1,1711
17,1,2,1712
17,1,3,1713
17,2,1,1721
17,2,2,1722
17,2,3,1723
17,3,1,1731
17,3,2,1732
17,3,3,1733
18,1,1,1811
18,1,2,1812
18,1,3,1813
18,2,1,1821
18,2,2,1822
18,2,3,1823
18,3,1,1831
18,3,2,1832
18,3,3,1833
19,1,1,1911
19,1,2,1912
19,1,3,1913
19,2,1,1921
19,2,2,1922
19,2,3,1923
19,3,1,1931
19,3,2,1932
19,3,3,1933
20,1,1,2011
20,1,2,2012
20,1,3,2013
20,2,1,2021
20,2,2,2022
20,2,3,2023
20,3,1,2031
20,3,2,2032
20,3,3,2033
22,1,1,2211
22,1,2,2212
22,1,3,2213
22,2,1,2221
22,2,2,2222
22,2,3,2223
22,3,1,2231
22,3,2,2232
22,3,3,2233
24,1,1,2411
24,1,2,2412
24,1,3,2413
24,2,1,2421
24,2,2,2422
24,2,3,2423
24,3,1,2431
24,3,2,2432
24,3,3,2433
25,1,1,2511
25,1,2,2512
25,1,3,2513
25,2,1,2521
25,2,2,2522
25,2,3,2523
25,3,1,2531
25,3,2,2532
25,3,3,2533
