IUCR_CODE,PRIMARY_TYPE,DESCRIPTION,INDEX_CODE
0110,HOMICIDE,FIRST DEGREE MURDER,I
0130,HOMICIDE,SECOND DEGREE MURDER,I
0141,HOMICIDE,INVOLUNTARY MANSLAUGHTER,I
0142,HOMICIDE,RECKLESS HOMICIDE,I
0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,I
0262,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER FIREARM,I
0263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,I
0264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,I
0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,I
0266,CRIM SEXUAL ASSAULT,PREDATORY,I
0270,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN,I
0271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER FIREARM,I
0272,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR,I
0273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON,I
0274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,I
0275,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,I
0281,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,I
0312,ROBBERY,ARMED: HANDGUN,I
0313,ROBBERY,ARMED: OTHER FIREARM,I
0314,ROBBERY,ARMED: KNIFE/CUTTING INSTRUMENT,I
0320,ROBBERY,STRONGARM - NO WEAPON,I
0325,ROBBERY,AGGRAVATED,I
0326,ROBBERY,ATTEMPT: ARMED - HANDGUN,I
0330,ROBBERY,ATTEMPT: ARMED - OTHER FIREARM,I
0331,ROBBERY,ATTEMPT: ARMED - KNIFE,I
0334,ROBBERY,ATTEMPT: STRONGARM - NO WEAPON,I
0460,BATTERY,SIMPLE,N
0461,BATTERY,AGGRAVATED: HANDGUN,I
0462,BATTERY,AGGRAVATED: OTHER FIREARM,I
0470,BATTERY,AGGRAVATED: KNIFE/CUTTING INSTR,I
0479,BATTERY,AGGRAVATED: OTHER DANG WEAPON,I
